127.0.0.1, 2015-05-12 18:07:02, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000340
127.0.0.1, 2015-05-12 18:07:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000300
127.0.0.1, 2015-05-12 18:07:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000853
127.0.0.1, 2015-05-12 18:07:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000297
127.0.0.1, 2015-05-12 18:07:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000276
127.0.0.1, 2015-05-12 18:07:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000261
127.0.0.1, 2015-05-12 18:07:02, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000259
127.0.0.1, 2015-05-12 18:07:02, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003450
127.0.0.1, 2015-05-12 18:07:02, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000323
127.0.0.1, 2015-05-12 18:07:02, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000234
127.0.0.1, 2015-05-12 18:07:02, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000233
127.0.0.1, 2015-05-12 18:07:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.033726
127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000410
127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000617
127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000404
127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000350
127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000382
127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000609
127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000339
127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000374
127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001228
127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000731
127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000546
127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000264
127.0.0.1, 2015-05-12 18:07:07, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000250
